DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,PlatformWindows,PlatformLinux,PlatformMac,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,HasDemo,MultipleDevs,DLCCountCat,Metacritic_Bins,MovieCountCat,PackageCategory,PublisherCategory,HasDiscount,HasEnglish,LanguageCount,HasSupportURL,HasSupportEmail,IsComWebsite,IsHttpWebsite
0,1,0,88,0,1,68991,1,13033334,92789,9140731,78136,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0,0,0,4,0,1,<= 1,0,1,10,1,0,0,0
0,1,0,0,0,1,2439,1,5399140,60368,753627,22699,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,0,0,1,<= 1,0,1,5,0,0,0,0
0,1,0,79,0,1,2319,1,7621102,71499,1709740,34145,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,3,0,1,<= 1,0,1,5,0,0,1,1
0,1,0,0,0,1,888,1,7498965,70936,789676,23235,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,0,0,1,<= 1,0,1,5,0,0,0,0
0,1,0,0,0,1,2934,1,5399499,60370,705741,21968,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,0,0,1,<= 1,0,1,4,0,0,0,0
0,1,0,0,0,1,1965,1,7488563,70888,843481,24011,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,0,0,1,<= 1,0,1,5,0,0,0,0
0,1,1,96,0,1,12486,1,5927504,63206,2268772,39303,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0,0,1,4,0,1,<= 1,0,1,10,1,0,1,1
0,1,0,65,0,1,7067,1,10489261,83543,4127910,52878,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0,0,0,1,0,1,<= 1,0,1,10,1,0,0,0
0,1,0,71,0,1,2219,1,5368650,60199,662517,21286,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,2,0,1,<= 1,0,1,3,0,0,0,0
1,1,1,96,2,2,35792,1,9901173,81234,5695963,61979,33,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,0,1,4,1,> 1,<= 1,0,1,24,1,0,1,1
0,1,0,88,0,1,53931,1,15433570,100626,11472993,87251,147,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,0,0,4,0,1,<= 1,0,1,14,1,0,0,0
0,1,0,0,0,1,2547,1,2983660,45027,695697,21811,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0,0,0,0,0,1,<= 1,0,1,13,0,0,0,0
0,1,0,80,3,1,7185,1,6400269,65635,2895778,44364,54,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0,0,0,3,2,1,<= 1,0,1,1,0,0,1,1
0,1,0,0,0,0,4352,1,14844765,98771,2885376,44285,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,<= 1,0,1,11,0,0,1,1
0,1,0,0,0,1,864,1,6796273,67597,388292,16301,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
0,1,1,87,5,2,4437,1,6298399,65120,2478611,41068,13,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99,7.99,0,0,1,4,2,> 1,<= 1,0,1,24,0,0,1,1
1,1,1,90,1,2,27535,1,9795716,80813,6864247,67928,15,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,0,1,4,0,> 1,<= 1,0,1,23,1,0,1,1
0,1,0,92,16,1,383949,1,37878812,152480,37878812,152480,520,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,4,2,1,<= 1,0,1,32,1,0,1,1
0,1,0,89,6,2,9980,1,4473517,55021,3107949,45947,73,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,0,0,4,2,> 1,<= 1,0,1,23,1,0,1,1
0,1,0,89,3,1,140726,1,15574539,101064,13583400,94652,70,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,0,0,4,2,1,<= 1,0,1,25,1,0,1,1
