SteamSpyPlayersEstimate,SteamSpyPlayersEstimate_log,DLCCount_log,PriceFinal_log,PCReqsHaveMin,PriceCurrency,PublisherCountCat,RecommendationCount
9140731,16.02825102775085,0.0,2.3969857684155302,1,USD,0,68991
753627,13.532654156543446,0.0,1.790091412127358,1,USD,0,2439
1709740,14.351852455019014,0.0,1.790091412127358,1,USD,0,2319
789676,13.57937928007736,0.0,1.790091412127358,1,USD,0,888
705741,13.467005010592757,0.0,1.790091412127358,1,USD,0,2934
843481,13.645293841084271,0.0,1.790091412127358,1,USD,0,1965
2268772,14.634749714684958,0.6931471805599453,2.3969857684155302,1,USD,0,12486
4127910,15.233282025833594,0.0,2.3969857684155302,1,USD,0,7067
662517,13.403803006284743,0.0,1.790091412127358,1,USD,0,2219
5695963,15.555268411829257,0.6931471805599453,2.3969857684155302,0,USD,0,35792
11472993,16.255506483814177,0.0,3.0440461338325413,1,USD,0,53931
695697,13.452670937105243,0.0,2.3969857684155302,1,USD,0,2547
2895778,14.878764717421127,0.0,2.3969857684155302,1,USD,0,7185
2885376,14.875166125296863,0.0,0.0,1,missing,0,4352
388292,12.869515488258784,0.0,2.3969857684155302,1,USD,0,864
2478611,14.723209284043941,0.6931471805599453,2.196112848483529,1,USD,0,4437
6864247,15.741837050033373,0.6931471805599453,2.3969857684155302,1,USD,0,27535
37878812,17.44990248999392,0.0,0.0,1,missing,0,383949
3107949,14.949473902824183,0.0,3.0440461338325413,1,USD,0,9980
13583400,16.42435909056572,0.0,3.0440461338325413,1,USD,0,140726
90687580,18.3229309817854,0.0,0.0,1,missing,0,590480
7282849,15.801032827079673,0.6931471805599453,3.0440461338325413,1,USD,0,73128
4819841,15.388251705406518,0.0,0.0,1,missing,0,14625
7282849,15.801032827079673,0.6931471805599453,3.0440461338325413,1,USD,0,73128
25150372,17.04038328541396,0.0,2.771963526845863,1,USD,0,1427633
12913,9.466067273186413,0.0,2.3969857684155302,1,USD,0,0
515451,13.152799464621767,0.0,2.3969857684155302,1,USD,0,1220
2989220,14.910523376304642,3.091042453358316,3.0440461338325413,1,USD,0,44364
69767,11.15293073090682,0.0,2.3969857684155302,1,USD,0,385
214861,12.277751240564067,0.0,2.3969857684155302,1,USD,0,444
139534,11.846070744831753,0.0,2.3969857684155302,1,USD,0,340
22957,10.041421738625441,0.0,2.771963526845863,1,USD,0,112
0,0.0,0.0,3.0440461338325413,1,USD,0,0
60800,11.015361515187424,0.0,2.0135687975291283,1,USD,0,400
17218,9.753768704286186,0.0,1.790091412127358,1,USD,0,210
38740,10.564653749740895,0.0,2.771963526845863,1,USD,0,204
57033,10.951402860214577,0.0,1.790091412127358,1,USD,0,389
1146403,13.952140644673543,0.0,0.0,1,missing,0,10079
416629,12.939953816738146,0.6931471805599453,2.3969857684155302,1,USD,0,2399
405509,12.912900813145983,0.0,2.3969857684155302,1,USD,0,2776
141686,11.861375678350848,0.0,2.771963526845863,1,USD,0,656
93082,11.441246847236334,0.0,2.771963526845863,1,USD,0,509
134871,11.812081459495637,0.0,1.790091412127358,1,USD,0,1061
234051,12.36329859187436,0.0,1.790091412127358,1,USD,0,2000
116577,11.666315855851078,0.0,1.790091412127358,1,USD,0,389
194594,12.178675754673222,0.0,1.790091412127358,1,USD,0,1279
181860,12.110997938000077,0.0,1.790091412127358,1,USD,0,1266
140969,11.856302380764971,0.0,1.790091412127358,1,USD,0,660
22239,10.009647748364518,0.0,1.3837912309017721,1,USD,0,0
51115,10.841852838728594,0.0,2.771963526845863,1,USD,0,0
37305,10.526909450604508,0.0,1.790091412127358,1,USD,0,158
46452,10.746196327732314,0.0,1.790091412127358,1,USD,0,241
928313,13.741125316605768,0.0,2.3969857684155302,1,USD,0,5026
366411,12.81151366233751,0.0,0.0,1,missing,0,706
90392,11.411922109753812,0.0,1.790091412127358,1,USD,0,716
17397,9.764110536067486,0.0,1.790091412127358,1,USD,0,0
34614,10.452042393112126,0.0,1.790091412127358,1,USD,0,291
34614,10.452042393112126,0.0,1.790091412127358,1,USD,0,291
34614,10.452042393112126,0.0,1.790091412127358,1,USD,0,291
19908,9.898927169779796,0.0,0.0,1,missing,0,129
64207,11.069883092506698,0.0,1.790091412127358,1,USD,0,984
407303,12.91731511435921,0.0,3.0440461338325413,1,USD,0,3983
43044,10.670001359092055,0.0,3.0440461338325413,1,USD,0,351
158007,11.970400943638694,0.0,3.0440461338325413,1,USD,0,851
255573,12.45126727487179,0.0,3.0440461338325413,1,USD,1,1307
96311,11.475348200614862,0.0,3.0440461338325413,1,USD,0,318
722779,13.49086016714583,0.0,3.0440461338325413,1,USD,1,2579
15962,9.678028823264478,0.0,1.3837912309017721,1,USD,0,109
28158,10.2456222982778,0.0,2.196112848483529,1,USD,0,181
54881,10.91294070488442,0.0,1.790091412127358,1,USD,0,183
139713,11.847352754969775,0.6931471805599453,2.3969857684155302,1,USD,0,280
319960,12.675954392348547,1.3862943611198906,2.8326249356838407,1,USD,0,1262
54522,10.906377909975262,0.0,1.790091412127358,1,USD,0,136
26006,10.16612101153675,0.0,1.790091412127358,1,USD,0,0
200513,12.208639348727488,1.0986122886681096,3.433664571799657,1,USD,0,5637
16321,9.700269170029188,0.0,2.3969857684155302,1,USD,0,0
17576,9.774346508212899,0.0,2.3969857684155302,1,USD,0,0
13810,9.533220655077928,0.0,2.3969857684155302,1,USD,0,0
281220,12.54689611607334,0.0,2.3969857684155302,1,USD,0,2870
29413,10.28922603046026,0.0,1.790091412127358,1,USD,0,116
56316,10.93875172236773,0.0,2.3969857684155302,1,USD,0,501
10761,9.283776690049365,0.0,1.790091412127358,1,USD,0,0
113708,11.641397832278805,0.0,1.2499017362143359,1,USD,1,308
67794,11.12424372489641,0.0,0.8064758658669485,1,USD,0,374
35870,10.48768444858769,0.0,1.790091412127358,1,USD,0,0
22419,10.017708696626151,0.0,1.790091412127358,1,USD,0,0
34614,10.452042393112126,0.0,1.790091412127358,1,USD,0,118
11478,9.348274558065496,0.0,1.790091412127358,1,USD,0,0
